title,rate,people,author
万物生光辉,9.4,(956人评价),作者:[英]吉米·哈利
我亲爱的甜橙树,9.1,(3600人评价),作者:(巴西)若泽•毛罗•德瓦斯康塞洛斯
教父,9.1,(8343人评价),作者:(美)马里奥·普佐
故事,9.3,(3610人评价),作者:罗伯特·麦基
树上的男爵,9.1,(10849人评价),作者:(意)卡尔维诺
罗马人的故事2,9.2,(2101人评价),作者:盐野七生
神秘岛（全三册）,9.2,(2524人评价),作者:(法)儒勒·凡尔纳
罗杰・艾克罗伊德谋杀案,9.0,(1555人评价),作者:阿加莎・克里斯蒂
呼兰河传,9.0,(1649人评价),作者:萧红
孽子,9.0,(5971人评价),作者:白先勇
木心作品八种,9.3,(1832人评价),作者:木心
灵魂的事,9.0,(2727人评价),作者:史铁生
万物既聪慧又奇妙,9.2,(2650人评价),作者:[英]吉米·哈利
局外人,9.0,(32006人评价),作者:[法]阿尔贝·加缪
荒原狼,9.0,(2981人评价),作者:(德)黑塞
所罗门王的指环,9.2,(1390人评价),作者:(奥)劳伦兹
故道白云,9.1,(1252人评价),作者:一行禅师
中国哲学简史,9.2,(1947人评价),作者:冯友兰
经济学,9.3,(1153人评价),作者:（美）保罗·萨缪尔森
史努比黄金50年,9.2,(1676人评价),作者:[美]查尔斯·舒尔茨
365夜,9.3,(4631人评价),作者:鲁兵主编
世说新语,9.1,(1267人评价),作者:刘义庆
银河帝国3：第二基地,9.2,(3935人评价),作者:[美]艾萨克·阿西莫夫
C专家编程,9.2,(1784人评价),作者:PeterVanDerLinden
TCP/IP详解卷1：协议,9.2,(1875人评价),作者:W.RichardStevens
基地前传2·迈向基地（上下）,9.0,(2511人评价),作者:（美）艾萨克·阿西莫夫
天真的人类学家,9.0,(1536人评价),作者:[英]奈杰尔·巴利
温柔的夜,9.1,(8277人评价),作者:三毛
柏拉图的《会饮》,9.2,(1193人评价),作者:柏拉图
陶庵梦忆西湖梦寻,9.2,(2614人评价),作者:[明]张岱
热爱生命,9.0,(2424人评价),作者:(美)杰克·伦敦著
飘,9.4,(3673人评价),作者:玛格丽特.米切尔
额尔古纳河右岸,9.0,(7161人评价),作者:迟子建
绿山墙的安妮,9.0,(4202人评价),作者:[加]露西·莫德·蒙哥玛利
深入理解计算机系统（原书第2版）,9.7,(1962人评价),作者:（美）RandalE.Bryant/DavidO'Hallaron
陶渊明集,9.4,(1264人评价),作者:逯钦立校注
金刚经,9.5,(3314人评价),作者:(后秦)鸠摩罗什
小径分岔的花园,9.1,(4043人评价),作者:[阿根廷]博尔赫斯
梦里花落知多少,9.1,(8369人评价),作者:三毛
荷西我爱你,9.2,(2317人评价),作者:三毛
尼各马可伦理学,9.1,(1412人评价),作者:[古希腊]亚里士多德(Aristotle)
深度探索C++对象模型,9.1,(1363人评价),作者:[美]StanleyB.Lippman
玻璃球游戏,9.0,(1947人评价),作者:[德]赫尔曼·黑塞
浪漫主义的根源,9.2,(1458人评价),作者:[英]以塞亚·伯林
吉祥纹莲花楼终篇之青龙·白虎,9.1,(2170人评价),作者:藤萍
中国少年儿童百科全书,9.1,(1884人评价),作者:ZhejiangEducationPublishingHouse
中国少年儿童百科全书--自然.环境,9.2,(4297人评价),作者:王德胜
枪炮、病菌与钢铁,8.9,(2004人评价),作者:(美)贾雷德・戴蒙德
小兔彼得和他的朋友们（全3册）,9.0,(1240人评价),作者:【英】毕翠克丝•波特
鼠族（一、二部）,9.2,(1514人评价),作者:[美]阿特·斯皮格曼
原动画基础教程,9.6,(1453人评价),作者:理查德·威廉姆斯
中国史纲,9.1,(1284人评价),作者:张荫麟
美国讲稿,9.0,(1118人评价),作者:[意大利]伊塔洛·卡尔维诺
精灵宝钻,9.2,(1226人评价),作者:(英)J.R.R.托尔金著/克里斯托弗·托尔金编
第二性Ⅱ,9.2,(1696人评价),作者:[法]西蒙娜·德·波伏瓦
隔江山色,9.0,(1227人评价),作者:[美]高居翰
大江东去（共三部）,9.1,(2939人评价),作者:阿耐
半生缘,9.1,(2901人评价),作者:张爱玲
夜莺与玫瑰,9.2,(1197人评价),作者:王尔德
金锁记,9.0,(1692人评价),作者:张爱玲
勒·柯布西耶全集,9.3,(1196人评价),作者:（法）勒·柯布西耶/（瑞士）W·博奥席耶等
1453,9.0,(2799人评价),作者:[英]罗杰·克劳利
悲惨世界（全三册）,9.3,(2555人评价),作者:[法]雨果
